,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
261,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,"Windows PC, PlayStation 4","Blood,Suggestive Themes,Use of Alcohol and Tobacco,Violence",No Interactive Elements,"This is an arcade-style fighting game in which players compete in one-on-one/three-on-three matches in King of Fighters tournaments. Players select fighters that punch, kick, and use special attacks (e.g., fireballs, electrical strikes) to drain opponents' life meters. Combat can be frenetic, accompanied by cries of pain, light bursts, and impact sounds. Some characters' attacks result in large blood-splatter effects. Some female characters are designed with low-cut outfits (e.g., deep cleavage) and jiggling breasts. One character's special move references alcohol (e.g., Sake Slammer, Drunken Twister); he is often seen smoking from a pipe and drinking sake from a gourd."
262,DEMON GAZE EXTRA,"PlayStation 4, Nintendo Switch","Fantasy Violence,Language,Partial Nudity,Sexual Themes,Use of Alcohol",No Interactive Elements,"This is a role-playing game in which players assume the role of a character tasked with hunting demons. As players explore dungeons and other environments, they sometimes battle fantastical creatures (e.g., goblins, giant insects, stone creatures). Combat is turn-based as players select moves from a menu of attacks, skills and items; combat is highlighted by impact sounds and light effects. Cutscenes occasionally depict stylized instances of violence: still images/limited animations of characters getting stabbed/cut with swords. During the course of the game, some female characters wear revealing outfits that expose portions of buttocks and breasts; a handful of demon characters are depicted partially nude (e.g., nipples and genitalia obscured). Characters sometimes engage in sexually suggestive dialogue (e.g., “We were just talking about perverted stuff” and “Horny much…?”), and some Achievements display characters in provocative poses alongside suggestive text (e.g., “You have experienced the Casket with Prometh” and “You give Prometh a bath with Pinay.”). During the course of the game, players can encounter drunk characters (e.g., ""hic”; “...[E]ven though you're drunk, you shouldn't talk about that”; ""You drunk idiot.”). The words “sh*t,” “a*shole,” and “b*tch” appear in dialogue."
263,Serial Cleaners,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Strong Language,Use of Drugs,Violence",No Interactive Elements,"This is a stealth-action game in which players control a team of ""cleaners,” or people hired to clean up crime scenes before authorities arrive. From a top-down perspective, players move around murder scenes, avoid police and gangsters, and dispose of human corpses (e.g.,  vacuuming large splatters of blood, bagging up corpses, destroying evidence). Various levels allow players to dispose of bodies, with depictions of blood and gore: throwing bagged bodies overboard to sharks below; using a chainsaw to dismember bodies, resulting in piles of limbs; grind victims' limbs via woodchippers. One sequence depicts two characters discussing their actions while high on cocaine; screen distortion occurs throughout the scene. The words “f**k” and “sh*t” appear in the dialogue."
264,Dawn of the Monsters,"PlayStation 4, PlayStation 5, Nintendo Switch","Animated Blood,Fantasy Violence,Language,Use of Alcohol",No Interactive Elements,"This is an action game in which players attempt to fight off an invasion of giant enemy monsters. From a sideways perspective, players use various characters (e.g., mechs, monsters, a giant superhero) to punch and kick monsters; players can also use buildings/objects to strike enemies. Some monsters emit splatters of colorful blood when injured/killed. One prolonged sequence depicts characters drinking in a bar; several characters appear red-faced, and one character can be heard hiccupping as if drunk. The word “a*shole” appears in the dialogue."
265,Shadowrun Trilogy,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Drug Reference,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is a role-playing game in which players navigate cyberpunk versions of Hong Kong, Berlin, and Seattle. From a top-down perspective, players explore open-world environments while solving puzzles, performing missions, and engaging in tactical battles with enemies (e.g., human thugs, cyborgs, robots, trolls). Characters take turns using guns and special skills (e.g., poison) to kill enemies; battles are highlighted by gunfire and blood-splatter effects. Cutscenes sometimes depict characters shooting themselves in the head, and some areas depict severed arms or mutilated corpses. Storylines can reference and/or depict sexual/suggestive material: women in revealing outfits dancing in front of male patrons; suggestive dialogue (e.g., “[F]ace of a schoolgirl, body of a stripper”; “Go to any brothel along the border...""; ""...[F]ind a nice brothel somewhere""; “I remember cruising the back alleys...looking for kids in need of help. The bait girls...would offer them…sex”). The game contains some drug content: dialogue such as ""...drugs...sex. Whatever it took to get them into the van”; a syringe described as “[a]n illegal street drug made from leaked Kamikaze formula”; a ""designer amphetamine” that gives players' character an energy boost. The words “f**k” and “sh*t” appear in the game."
266,They Always Run,"PlayStation 4, Nintendo Switch","Blood,Strong Language,Violence",No Interactive Elements,"This is an action platformer in which players assume the role a bounty hunter (Aiden) on missions to capture criminals across the galaxy. Players traverse 2D platform levels while using punches, kicks, swords, and pistols to battle enemies in melee-style combat. Battles are often frenetic, highlighted by sword slashes and close-up slow-motion effects. Blood-splatter effects are frequently depicted as enemies are hit and killed. One sequence depicts a bound character shot in the head at close range. The words “f**k” and “sh*t” appear in the game."
267,The Quest for Excalibur – Puy du Fou,"PlayStation 4, Nintendo Switch","Fantasy Violence,Suggestive Themes",No Interactive Elements,"This is a collection of mini-games (i.e., party games) in which players control a character completing various tasks in order to reassemble the shards of Excalibur. Mini-games include throwing axes and/or shooting arrows at targets; javelin throwing; and putting out small fires on a ship. Some challenges require players to use weapons (swords, axes, spears) to battle soldiers, gladiators, and zombies in melee-style combat. One dueling challenge prompts players to strike, block, and parry (using timed button presses) against a human character from a first-person perspective. Combat sequences are highlighted by dwindling health bars, brief grunts, and impact sounds. During the course of the game, a mermaid character is depicted topless, with sea foam covering portions of her breasts."
268,Horgihugh and Friends,Nintendo Switch,Fantasy Violence,No Interactive Elements,"This is a 2D side-scrolling shooter in which players assume the role of pilots flying fighter jets to battle an alien invasion. Players fire cartoony lasers, missiles, and bombs to destroy small enemy ships in frenetic combat; enemies generally disappear amid mild explosions. Boss battles depict more protracted combat. A handful of cutscenes describe war, aliens that ""leveled a mega-city,"" and ""a horrific murder in a little town."""
269,Zorro The Chronicles,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",Mild Violence,No Interactive Elements,"This is an action game in which players assume the role of Zorro, who fights to free late 1700s Los Angeles from Spanish control. From a third-person perspective, players explore colorful landscapes, complete missions, and battle soldiers in melee-style combat. Players use swords and whips to whimsically knock out and stun soldiers, causing them to spin to the ground with dizzy stars over their heads. Combat is often lighthearted (e.g., slide-whistle effects), although players can sometimes dispatch enemies via stealth attacks (e.g., sneaking up on soldiers, pulling their hats down) and Super KOs (e.g., Chicken Attack, “Z” mark on chest)."
270,Genesis Noir,Nintendo Switch,"Mild Blood,Mild Violence,Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,No Rating Summary
271,Final Vendetta,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Mild Violence",No Interactive Elements,"This is a side-scrolling action game in which players choose one of three fighters on a quest to rescue a kidnapped girl. Players traverse city streets while battling enemy thugs and bosses in melee-style combat. Players use punches, kicks, and weapons (knives, swords) to defeat enemies. Battles are frenetic, highlighted by impact sounds, cries of pain, and mild explosions. Small, brief blood spurts sometimes appear when enemies are struck. One sequence depicts a robot with red pools of blood arounds its severed limbs."
272,METAL MAX Xeno Reborn,"PlayStation 4, Nintendo Switch","Blood,Language,Suggestive Themes,Use of Alcohol,Violence",No Interactive Elements,"This is a role-playing game in which players assume the role of a warrior searching for survivors in a post-apocalyptic Japan. From a third-person perspective, players explore environments on foot or in tanks, interact with various characters, and engage in turn-based combat with enemy vehicles, robots, and monsters. Players perform attack moves by selecting options from a menu; attacks are depicted with short animations, and damage is indicated by Hit Points. Characters use firearms and tank cannons to defeat enemies. One still image depicts a dead woman wearing bloody clothes slumped against a bloodstained wall. The game contains some suggestive material in the dialogue (e.g., “Man, boobs really do jiggle”; “All the guys I've been with were two pump chumps.”). Some female characters are designed with revealing outfits (e.g., deep cleavage); one sequence depicts a still image of a woman tied up in webbing, with partially exposed breasts. Players can order alcoholic beverages (e.g., whiskey) at a bar, and one character is depicted drunk with slurred speech. The word “a*shole” appears in the game."
273,Tour de France 2022,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a cycling simulation game in which players compete as cyclists in the Tour de France. Players can take on the role of a team manager or professional cyclist performing both offensive and defensive maneuvers on the road (e.g., lead protection, relays)."
274,River City Girls Zero,"PlayStation 4, PlayStation 5, Nintendo Switch","Language,Mild Violence",No Interactive Elements,"This is an action-brawler game in which players assume the roles of four teenagers battling adversaries. Players traverse 2D side-scrolling environments while beating up enemies (e.g., gangsters, thugs, prison inmates). Players use punches, kicks, stomps, and weapons (e.g., knives) during fights; impact sounds, cries of pain, and occasional gunfire highlight the action. The words “b*tch” and “bastard” appear in the game."
275,Sheepo,"PlayStation 4, PlayStation 5, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
276,Fobia - St. Dinfna Hotel,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is a survival-horror game in which players assume the role of a journalist investigating a mysterious Brazilian hotel. From a first-person perspective, players explore the hotel, solve puzzles, and engage in combat with genetically mutated monsters. Players use pistols, shotguns, and machine guns to shoot and kill enemy creatures. Battles are accompanied by realistic gunfire and large splatters of blood. Some areas depict large blood stains and gore (e.g., severed limbs, corpses with exposed entrails/viscera). A handful of sequences depict more intense acts of violence: a man stabbing a young girl with a knife; a character impaled through the chest by a monster; a character repeatedly stabbed with a knife from a first-person view. The words “f**k” and “sh*t” are heard in the game."
277,Yurukill: The Calumniation Games,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Drug Reference,Fantasy Violence,Language,Mild Suggestive Themes",No Interactive Elements,"This is an adventure game/visual novel in which players follow the story of a wrongfully convicted prisoner forced through survival games called “attractions.” Set in an abandoned amusement park, the game allows players to engage in puzzles and dialogue-choice trials between prisoners and their “execution” partners; if trials fail, the prisoner's death is indicated by a falling guillotine and blood-splatter effects. During vertical-scrolling battles, players pilot small spaceships to shoot projectiles at enemy ships and targets. Still-image cutscenes depict additional violence: surveillance footage of a figure stabbing an assailant, resulting in blood stains; drawings of characters shooting each other, with large splatters of blood. The dialogue briefly references suggestive material (e.g., “Hey, you guys, what's prison like!? Do guys try and force you to do stuff, like…I mean you're both kinda handsome”; “You only bought comics if the cover girl had a big rack!”). “Illicit drugs” are referenced during one cutscene, with depictions of farmers growing/processing a marijuana-like plant. The words “bullsh*t” and “a*s” appear in dialogue."
278,Bail or Jail,Windows PC,Mild Fantasy Violence,No Interactive Elements,"This is an asymmetrical multiplayer game in which players compete in 3 vs 1 matches to stay out of jail. As a team of humans, players run and avoid monsters through stages (e.g., graveyard, spooky forests), while freeing captured humans from jail. Monsters often scare the humans, throwing them through the air, knocking them to the ground, and squeezing them tightly before placing them inside the jail."
279,STAR WARS Knights of the Old Republic II - The Sith Lords,Nintendo Switch,"Mild Blood,Mild Suggestive Themes,Violence",No Interactive Elements,"This is a role-playing game in which players assume the role of a Jedi struggling to reconnect with the Force. Players explore fantasy locations, interact with various characters, perform missions, and engage in melee-style combat in a sci-fi setting. Characters use blasters, swords, and light sabers to fight enemies (e.g., droids, republic soldiers, Sith figures). Battles are highlighted by blaster fire, impact sounds, and explosions. A handful of scenes depict corpses with bloody wounds and burn marks. Some female characters are designed with revealing outfits (e.g., low-cut tops, deep cleavage, partially exposed buttocks); the dialogue also contains brief suggestive material (e.g., “No tougher than enduring your false sympathy while you're staring at my chest.”)."
280,Summertime Madness,"PlayStation 4, PlayStation 5",No Descriptors,No Interactive Elements,No Rating Summary
281,Rainbow Billy: The Curse of the Leviathan,"PlayStation 4, Nintendo Switch",No Descriptors,No Interactive Elements,No Rating Summary
282,Slime Rancher: Plortable Edition,Nintendo Switch,Fantasy Violence,No Interactive Elements,No Rating Summary
283,Amnesia: Later x Crowd,Nintendo Switch,"Language,Mild Violence,Simulated Gambling,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a visual novel in which players follow the story of a woman trying to regain her memories while attempting to secure a romance. A handful of sequences depict violence, usually through still images or audio: a character with a knife in his chest; a man menaced in a park, with audio of wet/stabbing sounds; a murder scene described in graphic detail (e.g., “Both of their throats were slit and covered in blood...Their throats were slit so they wouldn't be able to scream…”). The game contains some suggestive material: a lingerie store clerk discussing a character's breasts/cleavage; still images of clothed characters in bed together; dialogue about characters sleeping together (e.g., “I'm not confident that I could hold back tonight. So I'm going to refrain from touching you.”). Players can engage in two casino games (e.g., blackjack, poker), winning Orion Points for winning hands; detailed instructions on blackjack and poker are also presented. In several scenes, characters discuss being drunk, and one sequence contains slurred audio/dialogue from characters labeled “Drunkard."" The word “sh*t” appears in the game."
284,Puzzle Bobble 3D: Vacation Odyssey,"PlayStation 4, PlayStation 5",No Descriptors,No Interactive Elements,"This is a 3D puzzle game in which players use cartoony dinosaurs to shoot and match colored bubbles. The main objective of the game is to make it through all the levels, connecting the bubbles of the right color with each other."
285,UNSIGHTED,"PlayStation 4, Nintendo Switch","Blood,Fantasy Violence,Mild Suggestive Themes",No Interactive Elements,No Rating Summary
286,Windstorm: Start of a Great Friendship,"PlayStation 4, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a horse-care adventure game in which players follow the story of a girl trying to befriend a black stallion. While exploring a large estate, players can ride horses, search for hidden objects, and care for their horses (e.g., grooming, scraping hooves, mucking stalls)."
287,Touken Ranbu Warriors,"Windows PC, Nintendo Switch","Mild Language,Violence",No Interactive Elements,"This is an action game in which players assume the roles of human-like characters that travel through time doing battle against evil monsters. From a third-person perspective, players hack-and-slash dozens of enemies (e.g., skeletons, soldiers, demons) by using swords, spears, knives, and special attacks. Battles are highlighted by cries of pain, impact sounds, and explosions; enemies are sent flying across the battlefield after particular strikes. One cutscene depicts a samurai dramatically slashing several men in a row with a sword. The words “a*s,” “bastard,” and “p*ssed” appear in the game."
288,Oxide Room 104,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood and Gore,Intense Violence,Nudity,Strong Language",No Interactive Elements,"This is a survival-horror game in which players control a man trying to uncover a mystery and escape a haunted motel. From a first-person perspective, players solve puzzles, search for items/clues, and avoid/fight demon characters. Players can occasionally use pistols to shoot the demons. Cutscenes depict more intense instances of violence: a man using axes and saws to cut off players' limbs; a demon biting off a chunk of flesh; a man dousing players in gasoline then lighting them on fire. One sequence allows players to cut off a man's hand while he is trapped in an elevator. In addition to depictions of severed limbs, the game depicts bloodstained characters and blood-splattered environments. During the course of the game, players' character sometimes appears nude, with brief depictions of male genitalia. The words “f**k” and “sh*t” appear in the dialogue."
289,Severed Steel,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Strong Language,Violence",No Interactive Elements,"This is a first-person shooter in which players perform stunts while trying to escape a complex facility. Players use pistols, machine guns, and shotguns to kill enemy guards as they break through walls and quickly traverse environments. The frenetic combat is highlighted by slow-motion effects, screams of pain, and explosions. Blood-splatter effects frequently occur, and some environments are stained with blood. The word “f**k” appears in the game."
290,The DioField Chronicle,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Mild Suggestive Themes,Violence",No Interactive Elements,"This is a role-playing game in which players control mercenaries battling rival factions in a fantastical world. From a top-down perspective, players engage in tactical battles against human soldiers and fantastical creatures (e.g., giant wolves, dragons, the undead). Players select attack moves from a menu as their party members move around the battlefield; characters use guns, swords, and magic spells/energy blasts to defeat enemies. Cutscenes depict further instances of violence and blood: characters impaled by swords; soldiers battling with swords/lances, amid splatters of blood; still images of characters lying in pools of blood. In one storyline, a villain kidnaps village women, forcing them to work in a brothel."
291,Instant Sports Plus,"PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,"This is a sports/activity game in which players can engage in 15 mini-games and various activities on a tropical island. Mini-games and activities include archery, bowling, fishing, insect collecting, and jet skiing."
292,My Little Pony: A Maretime Bay Adventure,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is an adventure game in which players assume the role of a pony working with friends to bring back a magical festival. Players traverse platforms, collect starts, fly through rings, and engage in various mini-games."
293,Trash Sailors,"PlayStation 4, Nintendo Switch",Fantasy Violence,No Interactive Elements,"This is a sailing adventure game in which players sail through levels of trash and enemies in the aftermath of a tsunami. Players recruit crew members, select cannons, and defend their boat from enemies who jump on board. Players use swords and pistols to dispel attacking enemies. Players can also shoot cannon balls at enemies that throw bombs and rockets; combat is highlight by impact sounds and fiery explosions."
294,Vampire: The Masquerade - Swansong,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Drug Reference,Intense Violence,Partial Nudity,Sexual Content,Strong Language",No Interactive Elements,"This is a narrative role-playing game in which players follow the story of three vampires from different clans. From a third-person perspective, players progress through each character's storyline, interacting with characters and making action choices. Some selections can result in acts of intense violence: a bound character tortured by a man using various tools (e.g., hot poker, flame torch, hammer); a character's throat ripped open by a werewolf; characters shot in the head at close range; a mind-controlled character slicing his own throat. Large blood-splatter effects occur as characters are injured and killed; some environments depict mutilated corpses (e.g., exposed entrails, decapitated) and large blood stains on the ground. In some environments, players can view framed photos on the wall, a handful of which depict nude woman with exposed breasts. During one sequence, a character is shown walking through a dreamscape, watching translucent figures engaging in obscured sexual acts (e.g., a figure with its face on a woman's crotch)—sexual moaning is sometimes heard.  Characters sometimes reference drugs in the dialogue (e.g., “He's totally high”; “Traces of cocaine…I guess it was that kind of party.”). The words “f**k” and “sh*t” are heard in the game."
295,Behind the Frame: The Finest Scenery,"PlayStation 4, Nintendo Switch",No Descriptors,No Interactive Elements,No Rating Summary
296,Hidden Objects Collection Volume 3,Nintendo Switch,"Mild Blood,Mild Language,Mild Violence,Use of Alcohol and Tobacco",No Interactive Elements,"This is a collection of hidden-object games in which players solve puzzles and search for specific items among screens of jumbled objects. Some games depict characters injured by Molotov cocktails or menaced with pistols. One game shows a pistol-wielding man next to a corpse; in another game, a mummy is seen repeatedly punching a man. In one sequence, players are prompted to prick/cut their characters' finger to collect drops of blood. Some games depict characters smoking cigars or cigarettes; a troll is depicted asleep after drinking wine mixed with sleeping powder. The word “damn” appears in the dialogue."
297,Fishing: North Atlantic,PlayStation 5,Mild Blood,No Interactive Elements,No Rating Summary
298,Shantae: Half-Genie Hero Ultimate Edition,PlayStation 5,"Cartoon Violence,Suggestive Themes",No Interactive Elements,No Rating Summary
299,Beach Buggy Racing 2: Island Adventure,Windows PC,"Mild Fantasy Violence,Use of Tobacco",No Interactive Elements,"This is a racing game in which players can choose various characters and vehicles to engage in whimsical race events. During races, players can collect and use power-ups (e.g., rockets, oversized dodgeballs, oil slicks) against opponents, causing them to spin out/fly out of their vehicles. Small explosions with screen-shaking effects sometimes occur. One racing character is depicted with a cigar in his mouth."
